Facility,ID,Measurement type,Status,Enrichment (%),Burnup (GWd/MT),Discharge day,month,year,cycle #,Thres A,Thres B, Measurement day,month,year,Cooling Time (years), NA, NB, NC, G1, G2 ,Detector
LANL-FDET           ,54,2,0,2.9,35.44,18,8,1990,3,0,0,,,,,199.1,201.1,0,351.5,351.5,
LANL-FDET           ,55,2,0,2.9,34.98,18,8,1990,3,0,0,,,,,182.2,181.9,0,343.2,343.2,
LANL-FDET           ,56,2,0,2.9,35.44,18,8,1990,3,0,0,,,,,194.2,192.4,0,351.1,351.1,
LANL-FDET           ,57,2,0,2.93,26.6,18,8,1991,2,0,0,,,,,50.2,48.1,0,242.4,242.4,
LANL-FDET           ,58,2,0,2.93,34.22,18,8,1993,3,0,0,,,,,180,179.9,0,371.9,371.9,
LANL-FDET           ,59,2,0,2.93,34.22,18,8,1993,3,0,0,,,,,176,176,0,372,372,
LANL-FDET           ,60,2,0,3.72,42.63,18,12,1995,3,0,0,,,,,261,262.8,0,592.8,592.8,
LANL-FDET           ,61,2,0,3.72,42.63,18,12,1995,3,0,0,,,,,268.8,268.1,0,603.2,603.2,
LANL-FDET           ,62,2,0,3.72,44.38,18,12,1995,3,0,0,,,,,317.6,316.7,0,632.4,632.4,
LANL-FDET           ,63,2,0,3.72,44.38,18,12,1995,3,0,0,,,,,321.8,323.9,0,639.6,639.6,
LANL-FDET           ,64,2,0,3.87,48.58,18,12,1995,4,0,0,,,,,426.1,428.7,0,700.2,700.2,
LANL-FDET           ,65,2,0,3.87,48.58,18,12,1995,4,0,0,,,,,406.6,401.8,0,682.1,682.1,
LANL-FDET           ,66,2,0,3.87,48.58,18,12,1995,4,0,0,,,,,413.3,414.2,0,682.2,682.2,
LANL-FDET           ,67,2,0,3.87,48.58,18,12,1995,4,0,0,,,,,424.9,421.4,0,687.8,687.8,
LANL-FDET           ,68,2,0,3.87,53.1,18,6,1999,4,0,0,,,,,762.5,747.2,0,1391,1391,
WWER-440,CV-1,1,0,3.6,34,18,11,2002,4,0,0,,,,,1140,0,0,1725,0,
WWER-440,CV-2,1,0,3.6,34,18,11,2002,4,0,0,,,,,1100,0,0,1660,0,
WWER-440,CV-3,1,0,3.6,31.81,18,11,2002,4,0,0,,,,,1070,0,0,1620,0,
WWER-440,CV-4,1,0,3.6,33.95,18,11,2002,4,0,0,,,,,1090,0,0,1525,0,
WWER-440,CV-5,1,0,3.6,35.58,18,11,2002,3,0,0,  ,  ,    ,,1320,0.01,0.01,3190,0.0001,
WWER-440,CV-6,1,0,3.6,35.54,18,11,2002,3,0,0,  ,  ,    ,,1305,0.01,0.01,3270,0.0001,
WWER-440,CV-7,1,0,3.6,31.32,18,11,2002,3,0,0,  ,  ,  ,,950,0.01,0.01,3190,0.0001,
WWER-440,CV-8,1,0,3.6,30.8,18,11,2002,3,0,0,  ,  ,  ,,860,0.01,0.01,3300,0.0001,
WWER-440,CV-9,1,0,3.6,20.78,18,11,2002,2,0,0,  ,  ,  ,,300,0.01,0.01,3350,0.0001,
WWER-440,CV-10,1,0,3.6,20.37,18,11,2002,2,0,0,  ,  ,  ,,260,0.01,0.01,3350,0.0001,
WWER-440,CV-11,1,0,3.6,21.55,18,11,2002,2,0,0,  ,  ,  ,,290,0.01,0.01,3420,0.0001,
WWER-440,CV-12,1,0,3.6,21.95,18,11,2002,2,0,0,  ,  ,  ,,320,0.01,0.01,3360,0.0001,
